"agn_id","code","name","address_1","address_2","city","state","zip","phone","fax","url","rgn_id"
"48","ABC","Adoption Bureau Central","64 Providence Turnpike","","Sutton","MA","01590","508-865-2300","","",""
"49","AC","Alliance For Children","55 William Street","Suite G10","Wellesley","MA","02481-4003","781-431-7148","","",""
"50","AC/NEW","Adoption Center, Inc.","1105 Washington St.","","West Newton","MA","02165","617-923-1895","","",""
"51","AWL","Adoption With Love","188 Needham St.","Suite 250","Newton","MA","02459","617-964-4357","","",""
"52","BABI","Boston Adoption Bureau, Inc.","14 Beacon St.","Suite 616","Boston","MA","02103","617-227-1336","","",""
"54","BCFP","Berkshire Children and Families Pittsfield","480 West St.","","Pittsfield","MA","01201","413-448-8281","413-445-5404","","1000"
"55","BCS","Bethany Christian Services","820 Turnpike Street","Suite 101","North Andover","MA","01845-6125","978-794-9800","","",""
"57","CACA","Cambridge Adoption & Counseling Assoc.","P O Box 190","","Cambridge","MA","02142","617-923-0370","","",""
"59","BCFN","Berkshire Children and Families","220 Russell Street","Suite 200","Hadley","MA","01035","413-584-5690","","www.berkshirechildren.org","1002"
"61","CASEY","Casey Family Services","18 Palmer St.","","Lowell","MA","01852","800-883-8836","","",""
"64","CCBR","Catholic Charities-Brockton","686 North Main Street","","Brockton","MA","02301","508-587-0815","","",""
"67","CCFR","Catholic Social Services-Fall River","Post Office Box M","South Station","Fall River","MA","02724","508-674-4681","","",""
"68","CCWO","Catholic Charities-Worcester","10 Hammond St.","","Worcester","MA","01610","508-798-0191","","","1002"
"70","CCBO","Catholic Charities-Archdiocese of Boston","275 West Broadway","The Laboure Center","South Boston","MA","02127-1943","617-464-8500","","www.ccbo.org","1002"
"71","CCSB","Catholic Charities-Southbridge","79 Elm St.","","Southbridge","MA","01550","508-765-5936","","",""
"73","LC","Love the Children, Inc.","2 Perry Drive","","Duxbury","MA","02332","781-934-0063","","",""
"74","JFCSAR","Jewish Family & Children's Serv.Adoption Resources","1340 Center St.","","Newton","MA","02159","617-332-2218","","",""
"75","CCHO","Catholic Charities-Hopedale","11 Williams St.","","Hopedale","MA","01747","508-478-0469","","",""
"76","CFCS","Cambridge Family & Children's Service","60 Gore Street","","Cambridge","MA","02141","617-876-4210","617-661-9749","","1002"
"77","CFS","Concord Family and Youth Services","380 Massachusetts Avenue","","Acton","MA","01720","978-264-3813","","",""
"78","JFSF","Jewish Family Services-Metro West","475 Franklin St.","Ste.101","Framingham","MA","01702-6265","508-875-3100","","",""
"79","NYCOAC","Council on Adoptable Children","589 8th Avenue","#15","New York","NY","10018-3005","212-475-0222","","",""
"80","CTCC","The Children's Center","1400 Whitney Ave.","","Hamden","CT","06514","203-248-2116","","",""
"81","CTCCFS","Community Children & Family Services","226 Dixwell Ave.","","New Haven","CT","06450","203-624-7993","","",""
"82","JFSSA","Jewish Family Services-No.Shore","2 East India Square","","Salem","MA","01970","978-741-7878","","",""
"83","CTCFS","Child & Family Services, Inc.","1680 Albany Ave.","","Hartford","CT","06105","203-236-4511","","",""
"84","CTCH","Curtis Home","380 Crown St.","","Meriden","CT","06450","203-237-9526","","",""
"85","JFSSP","Jewish Family Services-Springfield","15 Lenox St.","","Springfield","MA","01108","413-737-2601","","",""
"86","CTDCFHA","Dept. of Children & Families","505 Hudson Street, 10th Floor","Bureau of Adoption & Interstate Compact","Hartford","CT","06106","888-543-4376","","http://www.ctfosteradopt.com",""
"87","JFSWO","Jewish Family Services-Worcester","646 Salisbury St.","","Worcester","MA","01609","508-755-3101","508-755-7460","",""
"88","CTDCFR","Dept. of Children & Families","1 Court St.","","Rockville","CT","06066","860-872-6222","","",""
"89","ACA","Ascentria Care Alliance","14 East Worcester St","Suite 300","Worcester","MA","01605","774-243-3900","505-519-6448","","1002"
"90","CTFCA","Family & Children's Aid","9 Mott Ave.","","Norwalk","CT","06850","203-855-8765","","",""
"91","CTFCST","Family & Children's Service","60 Palmer's Hill Rd.","","Stamford","CT","06052","203-324-3167","","",""
"92","MARE","MA Adoption Resource Exchange","45 Franklin St.","5th Fl.","Boston","MA","02110","617-542-3678","","",""
"93","CTFSNB","Family Services of New Britain","92 Vine St.","","New Britain","CT","06052","203-223-9291","","",""
"94","MEAPSB","Maine Adoption Placement Services","277 Congress Street","","Portland","ME","04101","207-941-9500","","",""
"95","MECH","Maine Children's Home for Little Wanderers","93 Silver Street","","Waterville","ME","04901","207-873-4253","","",""
"97","CTJFSNH","Jewish Family Service of New Haven","1440 Whalley Ave.","","New Haven","CT","06515","203-389-5599","203-389-5904","www.jfsnh.org",""
"98","CTLCF","Lutheran Child & Family Service of Ct.","74 Sherman St.","","Hartford","CT","06105","203-567-5924","","",""
"99","MEDHSA","Maine Dept.of Human Services-Augusta","2 Anthony Avenue","","Augusta","ME","04333-0011","207-624-7900","","http://www.maine.gov/dhhs/ocfs/cw/adoption/index.shtml","1007"
"100","MEDHSB","Maine Dept.of Human Services-Bangor","396 Griffin Rd.","","Bangor","ME","04401","207-947-0511","","","1007"
"101","CTVFC","Village for Families & Children Inc","331 Wethersfield Avenue","","Hartford","CT","06114-1420","860-297-0555","","",""
"102","CTTC","Thursday's Child, Inc.","227 Tunxis Ave.","","Bloomfield","CT","06002","203-242-5941","","",""
"103","MEDHSC","Maine Dept.of Human Services-Caribou","RR2","Box 8700","Caribou","ME","04736","207-493-4000","","","1007"
"104","MEDHSH","Maine Dept.of Human Services-Houlton","11 High St.","","Houlton","ME","04730","207-532-9531","","","1007"
"107","DAREROX","DARE-Roxbury","504 Dudley St","3rd Floor","Roxbury","MA","02119","617-427-6500","617-427-6004","","1002"
"108","MEDHSL","Maine Dept.of Human Services-Lewiston","200 Main St.","","Lewiston","ME","04240","207-795-4300","207-795-4444","","1007"
"109","DAREDA","DARE-Danvers","2 Electronic Ave.","Ste.7","Danvers","MA","01923","978-750-0751","","",""
"110","MEDHSP","Maine Dept.of Human Services-Portland","161 Marginal Way","","Portland","ME","04101-2438","207-795-4300","","","1007"
"111","DARESO","DARE- Somerville","265 Medford Street","Suite 500","Somerville","MA","02143","617-629-2710","","",""
"112","MEGSA","Good Samaritan","160 Broadway","","Bangor","ME","04401","207-942-7211","","","1007"
"113","DARENO","DARE-Springfield","1 Roundhouse Plaza","Ste. 303","Northampton","MA","01060","413-584-4555","","",""
"114","DAREWO","DARE-Worcester","PO Box 0234","","Worcester","MA","01614","508-755-7100","","",""
"115","MFFK/CSR","MA Families for Kids/Children's Services of Roxbury","520 Dudley St","","Roxbury","MA","02119","617-445-6265","","",""
"116","CTDCFB","DCF-Bridgeport","100 Fairfield Ave.","","Bridgeport","CT","06604","203-384-5300","","",""
"117","MSPCC","MSPCC-Southeast Region","158 Main St.","2nd Fl","Brockton","MA","02301","508-586-2660","","",""
"118","MVCF","Child & Family Services of Merrimack Valley","439 South Union Street","Box D4","Lawrence","MA","01843","978-687-5852","978-687-5857","","1002"
"119","FRCF","Child & Family Services, Inc.","66 Troy Street","","Fall River","MA","02720","508-676-5708","508-676-0866","","1002"
"120","ADLUNE","DCF-Northern Regional","280 Merrimack Street","3rd Floor","Lawrence","MA","01843","978-557-2700","978-557-9231","","1003"
"121","HLW","The Home for Little Wanderers","50 Redfield Street Suite 300","","Dorchester","MA","02122","617-288-7450","617-232-7925","","1002"
"122","NFILYN","Northeast Family Institute","158 South St.","","Lynn","MA","01905","781-593-1008","","",""
"123","CTDCYSD","DCYS-Danbury","131 West St.","","Danbury","CT","06810","203-797-4018","","",""
"124","CTDCYSH","DCYS-Hamden (number not in service)","2105 State St.","","Hamden","CT","06511","","","","1007"
"125","CTDCYSHF","DCYS-Hartford","1049 Asylum Ave.","","Hartford","CT","06105","203-566-4815","","",""
"126","CTDCYSM","DCTS-Meriden","Undercliff Rd.","Whitehall Bldg.2","Meriden","CT","06450","203-238-6188","","",""
"127","CTDCFM","DCF-Manchester","364 West Middle Turnpike","","Manchester","CT","06040","860-533-3600","","",""
"128","CTDCYSMI","DCYS-Middletown","117 Main St. Ext.","","Middletown","CT","06457","203-344-2113","","",""
"129","CTDCYSN","DCYS-Norwich","2 Courthouse Square","","Norwich","CT","06330","860-886-2641","","",""
"132","CTDCYSS","DCYS-Stamford","1542 Bedford St.","","Stamford","CT","06905","203-348-5865","","",""
"133","NHAFC","Adoptive Families for Children","26 Fairview St.","","Keene","NH","03431","603-357-4456","","",""
"134","CTDCYST","DCYS-Torrington","352 Main St.","","Torrington","CT","06702","203-482-5531","","",""
"135","NHCA","Creative Advocates for Children & Families","P O Box 1703","","Manchester","NH","03105","603-623-5006","","",""
"136","CTDCYSW","DCYS-Waterbury","395 West Main Street","","Waterbury","CT","06702","203-753-9541","","",""
"137","CTDCFWM","DCF-Willimantic","322 Main ST","","Willimantic","CT","06226","860-450-2098","","",""
"138","DSFY","Downey Side Families for Youth","44 Sherman Street","","Springfield","MA","01109","800-872-4453","","",""
"139","CTDSH","Downeyside Homes-Hartford","75 Pratt St.","Ste. 505","Hartford","CT","06103","203-560-7500","","",""
"140","ADLUME","DCF-Metro Regional","30 Mystic St.","","Arlington","MA","02474","781-641-8275","781-648-6909","","1006"
"141","NHCC","NH Catholic Charities","215 Myrtle St.","","Manchester","NH","03105","800-642-6486","","",""
"145","ADLUBO","DCF-Boston Regional","451 Blue Hill Avenue","2nd Floor","Dorchester","MA","02121","617-989-9200","","","1005"
