"cla_id","cll_id","agn_id"
"1","2046","135"
"2","1558","140"
"3","462","92"
"4","472","92"
"5","2796","92"
"6","2797","92"
"7","2798","92"
"8","475","92"
"9","21","92"
"10","470","92"
"11","436","92"
"12","438","92"
"13","477","110"
"14","425","92"
"15","2800","92"
"16","27","92"
"17","495","49"
"18","1466","148"
"19","1648","168"
"20","1649","168"
"21","987","168"
"22","416","89"
"23","1619","92"
"24","1600","92"
"25","1462","121"
"26","539","92"
"27","1603","92"
"28","959","120"
"29","387","92"
"30","548","76"
"31","549","89"
"32","1672","109"
"33","550","92"
"34","385","92"
"35","2694","92"
"36","1175","92"
"37","1697","92"
"38","624","92"
"39","2182","92"
"40","2183","92"
"41","2184","92"
"42","2185","92"
"43","2674","92"
"44","370","92"
"45","371","92"
"46","1227","92"
"47","1763","92"
"48","1230","92"
"49","2685","95"
"50","2686","92"
"51","2179","92"
"52","1761","92"
"53","356","118"
"54","1188","92"
"55","1725","92"
"56","1179","92"
"57","1304","92"
"58","1297","92"
"59","2527","140"
"60","1881","92"
"61","1264","92"
"62","1265","92"
"63","342","92"
"64","1275","92"
"65","1811","156"
"66","1815","218"
"67","336","171"
"68","334","92"
"69","1239","92"
"70","169","92"
"71","173","291"
"72","2377","120"
"73","750","92"
"74","773","92"
"76","1349","92"
"77","1350","92"
"78","2277","92"
"79","2276","92"
"80","780","92"
"81","210","92"
"82","211","92"
"83","212","92"
"84","213","92"
"85","214","92"
"86","1923","92"
"87","310","92"
"88","2465","92"
"89","832","92"
"90","1964","577"
"91","306","92"
"92","834","92"
"93","858","92"
"94","870","92"
"95","871","92"
"96","873","92"
"97","874","92"
"98","884","92"
"99","893","92"
"100","895","92"
"101","1863","92"
"102","1854","92"
"103","122","92"
"105","24757","169"
"106","8600","50"
"107","8600","140"
"108","19899","140"
"109","10731","92"
"110","10732","92"
"111","8601","92"
"112","6178","149"
"113","19901","92"
"116","19898","109"
"117","19898","140"
"118","24758","92"
"119","15818","76"
"120","15818","140"
"121","24749","220"
"122","24753","92"
"123","15812","92"
"124","24746","92"
"125","24743","92"
"126","24744","92"
"127","11572","169"
"128","15810","156"
"129","8608","118"
"130","8608","168"
"131","24737","181"
"132","24738","92"
"133","8586","92"
"134","15800","92"
"135","15801","92"
"136","15804","92"
"137","2804","76"
"138","2808","92"
"139","2812","92"
"140","2813","171"
"141","2813","191"
"142","11579","120"
"143","11579","156"
"144","2814","156"
"145","15807","156"
