"clc_id","cll_id","chd_id"
"1","2249","783"
"2","1301","838"
"3","1365","906"
"4","646","1477"
"5","646","1478"
"6","646","1479"
"7","2254","1194"
"8","2254","1195"
"9","2254","1196"
"10","1878","1267"
"11","1878","1268"
"12","1879","1463"
"13","1879","1464"
"14","1879","1503"
"15","1880","896"
"16","2245","1439"
"17","2246","1374"
"18","2247","1427"
"19","2248","1129"
"20","1289","1487"
"21","1290","1501"
"22","1291","1435"
"23","2255","1365"
"24","2256","768"
"25","344","1447"
"26","345","1471"
"27","345","1472"
"28","345","1473"
"29","643","896"
"30","644","1485"
"31","1844","1485"
"32","645","906"
"33","2518","1502"
"34","2518","1507"
"35","2519","1502"
"36","2519","1507"
"37","2520","1515"
"38","1845","1365"
"39","2517","838"
"40","1292","1365"
"41","1293","906"
"42","1386","1260"
"43","1387","1226"
"44","1387","1227"
"45","1388","1252"
"46","1388","1253"
"47","1389","1110"
"48","2257","1485"
"49","2515","906"
"50","2516","1498"
"51","1294","1498"
"52","2258","1443"
"53","2258","1444"
"54","2259","1501"
"55","2260","1465"
"56","2261","906"
"57","2262","1487"
"58","2263","1392"
"59","2264","1252"
"60","2264","1253"
"61","2265","1412"
"62","2265","1413"
"63","2266","1397"
"64","2267","1365"
"65","2268","1274"
"66","2513","1428"
"67","2514","1524"
"68","128","1139"
"69","647","1397"
"70","648","798"
"71","649","1428"
"72","2508","1110"
"73","343","1300"
"74","2507","1365"
"75","2270","1397"
"76","650","1502"
"77","650","1507"
"78","2510","1185"
"79","2510","1186"
"80","129","1030"
"81","129","1031"
"82","1832","1300"
"83","2509","1517"
"84","651","1110"
"85","1391","1327"
"86","2269","1541"
"87","1829","1541"
"88","1830","1517"
"89","1831","1547"
"90","659","692"
"91","2477","1547"
"92","1282","1521"
"93","1283","1547"
"94","1284","1080"
"95","1285","1080"
"96","1286","1365"
"97","1287","1537"
"98","1287","1538"
"99","2512","1319"
"100","1390","1547"
"101","1833","1498"
"102","1834","1345"
"103","1835","1546"
"104","660","1501"
"105","2476","1332"
"106","2476","1333"
"107","2476","1334"
"108","2273","1547"
"109","2469","1463"
"110","2469","1464"
"111","2469","1503"
"112","2470","896"
"113","1288","1417"
"114","1836","1114"
"115","1837","896"
"116","1838","1397"
"117","1839","1502"
"118","1839","1507"
"119","1840","1485"
"120","1841","1550"
"121","1842","1477"
"122","1842","1478"
"123","1842","1479"
"124","1843","1397"
"125","2511","1284"
"126","2511","1285"
"127","130","1284"
"128","130","1285"
"129","131","1397"
"130","132","1439"
"131","133","1502"
"132","133","1507"
"133","134","410"
"134","1276","1252"
"135","1276","1253"
"136","2272","1448"
"137","2496","1547"
"138","1827","746"
"139","661","1397"
"140","662","1412"
"141","662","1413"
"142","663","1404"
"143","663","1405"
"144","664","1450"
"145","665","1394"
"146","666","1392"
"147","667","1443"
"148","667","1444"
"149","668","1252"
"150","668","1253"
"151","2478","1550"
"152","2479","838"
"153","2480","1110"
"154","2481","1562"
"155","2481","1563"
"156","2482","1564"
"157","2482","1565"
"158","2483","1417"
"159","1266","746"
"160","1267","746"
"161","1268","1080"
"162","1269","1418"
"163","1270","1267"
"164","1270","1268"
"165","1271","688"
"166","1272","1492"
"167","1273","1477"
"168","1273","1478"
"169","1273","1479"
"170","1274","1547"
"171","1148","1364"
"172","2471","1217"
"173","2472","1562"
"174","2472","1563"
"175","2473","1564"
"176","2473","1565"
"177","2474","1101"
"178","2475","1448"
"179","1277","1463"
"180","1277","1464"
"181","1277","1503"
"182","1278","1527"
"183","1278","1528"
"184","1278","1529"
"185","1279","1443"
"186","1279","1444"
"187","653","1564"
"188","653","1565"
"189","135","1562"
"190","135","1563"
"191","136","1564"
"192","136","1565"
"193","137","965"
"194","1280","1539"
"195","1280","1540"
"196","2495","1448"
"197","652","1267"
"198","652","1268"
"199","2497","1326"
"200","2498","1260"
"201","2499","1284"
"202","2499","1285"
"203","2500","1271"
"204","2500","1375"
"205","2500","1587"
"206","2501","1541"
"207","2502","1557"
"208","2503","1547"
"209","2504","1030"
"210","2504","1031"
"211","2505","1101"
"212","2506","1527"
"213","2506","1528"
"214","2506","1529"
"215","1828","1300"
"216","2484","1564"
"217","2484","1565"
"218","2242","1271"
"219","2242","1375"
"220","2242","1587"
"221","654","1450"
"222","655","1435"
"223","656","1398"
"224","657","838"
"225","658","1110"
"226","2271","1539"
"227","2271","1540"
"228","1392","1198"
"229","1392","1199"
"230","1392","1330"
"231","1393","1547"
"232","1824","1555"
"233","1824","1556"
"234","1825","1261"
"235","1825","1262"
"236","1826","1459"
"237","2485","1459"
"238","2486","1460"
"239","2487","1448"
"240","2488","1578"
"241","2489","547"
"242","2490","1577"
"243","2491","889"
"244","2492","1555"
