"csn_id","chd_id","spn_id"
"1002","2148","20"
"1003","2150","10"
"1004","2150","40"
"1005","2150","50"
"1006","2013","20"
"1007","2013","50"
"1008","2191","20"
"1009","616","10"
"1010","616","40"
"1012","367","20"
"1013","2463","60"
"1014","2504","40"
"1015","2518","20"
"1017","2409","60"
"1018","564","20"
"1019","565","20"
"1020","2856","60"
"1021","2882","10"
"1022","2950","20"
"1023","2950","60"
"1027","2973","40"
"1029","1331","40"
"1031","3515","70"
"1032","3530","70"
"1033","2102","60"
"1034","3394","20"
"1035","3357","70"
"1036","3378","50"
"1037","1557","20"
"1038","3556","70"
"1040","3383","50"
"1041","3361","70"
"1042","3228","20"
"1043","3464","10"
"1044","3655","70"
"1045","3668","70"
"1046","2912","70"
"1047","3754","40"
"1048","3763","20"
"1049","2899","70"
"1050","3807","70"
"1051","3821","50"
"1052","3833","70"
"1053","3835","10"
"1054","3866","20"
"1055","3866","40"
"1056","3908","20"
"1058","3038","70"
"1059","3234","70"
"1060","4010","70"
"1061","3665","70"
"1062","4113","70"
"1067","4252","50"
"1069","4270","20"
"1070","4351","20"
"1072","4372","70"
"1074","4112","40"
"1075","4375","70"
"1076","4391","50"
"1078","4395","10"
"1080","4458","10"
"1081","4476","20"
"1083","4539","50"
"1084","4561","10"
"1085","4561","50"
"1086","4571","70"
"1087","4623","10"
"1088","4558","50"
"1089","4650","70"
"1091","4685","70"
"1092","4714","10"
"1093","4213","20"
"1094","4213","50"
"1098","4841","70"
"1101","4869","60"
"1102","4886","50"
"1104","4931","70"
"1105","4932","70"
"1106","4872","70"
"1107","4937","70"
"1108","4978","70"
"1109","4512","70"
"1111","5162","20"
"1112","5162","50"
"1115","4764","20"
"1116","5265","70"
"1117","5297","70"
"1118","5299","70"
"1121","5410","70"
"1122","5433","70"
"1123","5322","70"
"1124","5335","70"
"1125","5437","50"
"1127","5400","70"
"1131","5309","70"
"1132","2505","70"
"1133","5533","20"
"1134","5607","20"
"1135","5634","60"
"1136","5638","40"
"1137","5670","70"
"1138","5437","20"
"1139","4817","70"
"1140","4815","70"
"1143","5686","70"
"1144","5779","70"
"1145","5794","70"
"1146","5823","50"
"1147","5109","20"
"1148","5321","70"
"1149","5851","70"
"1150","5855","70"
"1151","5857","70"
"1152","4252","70"
"1154","5694","70"
"1155","4970","70"
"1156","5898","70"
"1158","5912","70"
"1160","5096","70"
"1161","5918","50"
"1162","5931","10"
"1163","5959","20"
"1164","5960","50"
"1166","5973","70"
"1167","5978","70"
"1169","4251","70"
"1170","6054","70"
"1171","6058","50"
"1172","6101","70"
"1173","5252","70"
"1174","6126","70"
"1175","6183","70"
"1176","6194","70"
"1177","6232","10"
"1178","6267","20"
"1179","6327","70"
"1180","4886","20"
"1181","5823","70"
"1183","5863","50"
"1184","5862","40"
"1185","6363","70"
"1186","6201","70"
"1187","6375","70"
"1188","6376","70"
"1191","6388","10"
"1192","5807","20"
"1193","6407","50"
"1194","6408","50"
"1195","6417","70"
"1196","5667","40"
"1197","6339","70"
"1198","6460","50"
"1199","4558","70"
"1200","6472","70"
"1201","6494","70"
"1202","5073","70"
"1203","6516","60"
"1204","6520","50"
"1205","6445","70"
"1206","6540","70"
"1207","6567","50"
"1208","6570","70"
"1209","6582","70"
"1210","2993","20"
"1212","6603","70"
"1214","6663","20"
"1215","6672","70"
"1216","6692","50"
"1217","6714","70"
"1218","6744","70"
"1219","6416","70"
"1220","6773","70"
"1221","6774","70"
"1222","6783","70"
"1223","5296","70"
"1224","6789","70"
"1225","5871","50"
"1226","6816","40"
"1227","6816","70"
"1228","6850","70"
"1229","6855","70"
"1230","6854","70"
"1231","6186","70"
"1232","6644","70"
"1233","6519","50"
"1234","6903","70"
"1235","6508","70"
