"exr_id","exf_id","rce_id"
"1000","1001","1"
"1016","1003","1"
"1017","1000","1"
"1018","1000","12"
"1019","1000","6"
"1020","1000","3"
"1021","1000","7"
"1022","1000","13"
"1023","1000","8"
"1024","1000","14"
"1025","1000","9"
"1026","1000","4"
"1027","1000","2"
"1028","1000","15"
"1029","1000","10"
"1030","1000","5"
"1031","1000","11"
"1048","1006","1"
"1049","1006","12"
"1050","1006","6"
"1051","1006","3"
"1052","1006","7"
"1053","1006","13"
"1054","1006","8"
"1055","1006","14"
"1056","1006","9"
"1057","1006","4"
"1058","1006","2"
"1059","1006","15"
"1060","1006","10"
"1061","1006","5"
"1062","1006","11"
"1064","1008","1"
"1065","1008","12"
"1066","1008","6"
"1067","1008","3"
"1068","1008","7"
"1069","1008","13"
"1070","1008","8"
"1071","1008","14"
"1072","1008","9"
"1073","1008","4"
"1074","1008","2"
"1075","1008","15"
"1076","1008","10"
"1077","1008","5"
"1078","1008","11"
"1080","1009","1"
"1081","1010","12"
"1082","1010","3"
"1083","1010","13"
"1084","1010","14"
"1085","1010","4"
"1086","1010","2"
"1087","1010","15"
"1088","1010","10"
"1089","1010","5"
"1090","1010","11"
"1092","1012","12"
"1093","1012","3"
"1094","1012","13"
"1095","1012","14"
"1096","1012","4"
"1097","1012","2"
"1098","1012","15"
"1099","1012","10"
"1100","1012","5"
"1101","1012","11"
"1102","1015","12"
"1103","1015","6"
"1104","1015","3"
"1105","1015","7"
"1106","1015","13"
"1107","1015","8"
"1108","1015","14"
"1109","1015","9"
"1110","1015","4"
"1111","1015","2"
"1112","1015","15"
"1113","1015","10"
"1114","1015","5"
"1115","1015","11"
"1117","1016","12"
"1118","1016","3"
"1119","1016","13"
"1120","1016","14"
"1121","1016","4"
"1122","1016","2"
"1123","1016","15"
"1124","1016","10"
"1125","1016","5"
"1126","1016","11"
"1128","1017","1"
"1129","1017","3"
"1130","1017","7"
"1131","1017","13"
"1132","1017","8"
"1133","1017","14"
"1134","1017","9"
"1135","1017","4"
"1136","1017","15"
"1137","1017","5"
"1140","1018","12"
"1141","1018","6"
"1142","1018","3"
"1143","1018","7"
"1144","1018","13"
"1145","1018","8"
"1146","1018","14"
"1147","1018","9"
"1148","1018","4"
"1149","1018","2"
"1150","1018","15"
"1151","1018","10"
"1152","1018","5"
"1153","1018","11"
"1155","1019","3"
"1156","1019","7"
"1157","1019","13"
"1158","1019","14"
"1159","1019","4"
"1160","1019","10"
"1162","1020","1"
"1163","1020","12"
"1164","1020","6"
"1165","1020","3"
"1166","1020","7"
"1167","1020","13"
"1168","1020","8"
"1169","1020","14"
"1170","1020","9"
"1171","1020","4"
"1172","1020","2"
"1173","1020","15"
"1174","1020","10"
"1175","1020","5"
"1176","1020","11"
"1178","1011","12"
"1179","1011","3"
"1180","1011","13"
"1181","1011","14"
"1183","1011","4"
"1184","1011","2"
"1185","1011","15"
"1186","1011","10"
"1187","1011","5"
"1188","1011","11"
"1190","1024","1"
"1191","1024","6"
"1192","1024","7"
"1193","1024","8"
"1194","1024","9"
"1195","1027","1"
"1196","1027","12"
"1197","1027","6"
"1198","1027","3"
"1199","1027","7"
"1200","1027","13"
"1201","1027","8"
"1202","1027","14"
"1203","1027","9"
"1204","1027","4"
"1205","1027","2"
"1206","1027","15"
"1207","1027","10"
"1208","1027","5"
"1209","1027","11"
"1211","1025","1"
"1212","1025","12"
"1213","1025","6"
"1214","1025","3"
"1215","1025","7"
"1216","1025","13"
"1217","1025","8"
"1218","1025","14"
"1219","1025","9"
"1220","1025","4"
"1221","1025","2"
"1222","1025","15"
"1223","1025","10"
"1224","1025","5"
"1225","1025","11"
"1227","1029","1"
"1228","1029","12"
"1229","1029","6"
"1230","1029","3"
"1231","1029","7"
"1232","1029","13"
"1233","1029","8"
"1234","1029","14"
"1235","1029","9"
"1236","1029","4"
"1237","1029","2"
"1238","1029","15"
"1239","1029","10"
"1240","1029","5"
"1241","1029","11"
"1243","1028","1"
"1244","1028","12"
"1245","1028","6"
"1246","1028","3"
"1247","1028","7"
"1248","1028","13"
"1249","1028","8"
"1250","1028","14"
"1251","1028","9"
"1252","1028","4"
"1253","1028","2"
"1254","1028","15"
"1255","1028","10"
"1256","1028","5"
"1257","1028","11"
"1259","1031","1"
