"frp_id","fam_id","rce_id"
"1000","20","3"
"1001","21","3"
"1002","32","3"
"1003","33","3"
"1004","34","2"
"1005","34","3"
"1006","34","4"
"1007","34","10"
"1008","34","13"
"1009","35","3"
"1010","35","10"
"1011","36","1"
"1012","36","2"
"1013","36","3"
"1014","36","4"
"1015","36","5"
"1016","36","6"
"1017","36","7"
"1018","36","8"
"1019","36","9"
"1020","36","10"
"1021","36","11"
"1022","36","12"
"1023","36","13"
"1024","36","14"
"1025","36","15"
"1027","38","1"
"1028","38","2"
"1029","38","3"
"1030","38","4"
"1031","38","5"
"1032","38","6"
"1033","38","7"
"1034","38","8"
"1035","38","9"
"1036","38","10"
"1037","38","11"
"1038","38","12"
"1039","38","13"
"1040","38","14"
"1041","38","15"
"1042","39","1"
"1043","40","3"
"1044","41","3"
"1045","42","3"
"1046","43","3"
"1047","43","4"
"1048","44","3"
"1049","45","3"
"1050","50","3"
"1051","50","4"
"1052","50","13"
"1053","51","1"
"1054","51","2"
"1055","51","3"
"1056","51","4"
"1057","51","5"
"1058","51","6"
"1059","51","7"
"1060","51","8"
"1061","51","9"
"1062","51","10"
"1063","51","11"
"1064","51","12"
"1065","51","13"
"1066","51","14"
"1067","51","15"
"1068","53","1"
"1069","53","3"
"1070","53","4"
"1071","54","1"
"1072","54","7"
"1073","54","8"
"1074","55","3"
"1075","56","1"
"1076","56","2"
"1077","56","3"
"1078","56","4"
"1079","56","5"
"1080","57","1"
"1081","57","7"
"1082","58","1"
"1083","59","3"
"1086","62","3"
"1087","63","3"
"1088","64","3"
"1089","65","3"
"1090","66","3"
"1094","68","1"
"1095","68","7"
"1096","69","3"
"1097","70","2"
"1098","70","3"
"1099","70","4"
"1100","71","3"
"1101","72","1"
"1102","72","2"
"1103","72","3"
"1104","72","4"
"1105","72","5"
"1106","72","6"
"1107","72","7"
"1108","72","8"
"1109","72","9"
"1110","72","10"
"1111","72","11"
"1112","72","12"
"1113","72","13"
"1114","72","14"
"1115","72","15"
"1116","72","16"
"1117","75","7"
"1118","75","8"
"1119","76","6"
"1120","76","7"
"1121","76","8"
"1122","77","3"
"1123","78","2"
"1124","78","3"
"1125","78","4"
"1126","79","1"
"1127","80","7"
"1128","81","1"
"1129","81","2"
"1130","81","3"
"1131","81","4"
"1132","81","5"
"1133","81","6"
"1134","81","7"
"1135","81","8"
"1136","81","9"
"1137","81","10"
"1138","81","11"
"1139","81","12"
"1140","81","13"
"1141","81","14"
"1142","81","15"
"1143","81","16"
"1144","82","3"
"1145","83","2"
"1146","83","3"
"1147","83","4"
"1148","83","10"
"1149","83","11"
"1150","83","13"
"1152","86","3"
"1153","87","3"
"1154","88","13"
"1155","89","3"
"1156","90","1"
"1157","90","2"
"1158","90","3"
"1159","90","4"
"1160","90","5"
"1161","90","6"
"1162","90","7"
"1163","90","8"
"1164","90","9"
"1165","90","10"
"1166","90","11"
"1167","90","12"
"1168","90","13"
"1169","90","14"
"1170","90","15"
"1171","90","16"
"1172","91","3"
"1173","91","4"
"1174","92","3"
"1175","93","3"
"1176","93","4"
"1177","93","13"
"1178","94","3"
"1179","94","10"
"1180","94","13"
"1181","95","3"
"1182","96","1"
"1183","96","2"
"1184","96","3"
"1185","96","4"
"1186","96","5"
"1187","96","6"
"1188","96","7"
"1189","96","8"
"1190","96","9"
"1191","96","10"
"1192","96","11"
"1193","96","12"
"1194","96","13"
"1195","96","14"
"1196","96","15"
"1197","96","16"
"1198","97","3"
"1199","97","7"
"1200","98","2"
"1201","98","3"
"1202","98","10"
"1203","99","1"
"1204","99","2"
"1205","99","3"
"1206","99","4"
"1207","99","5"
"1208","99","6"
"1209","99","7"
"1210","99","8"
"1211","99","9"
"1212","99","10"
"1213","99","11"
"1214","99","12"
"1215","99","13"
"1216","99","14"
"1217","99","15"
"1218","99","16"
"1219","100","3"
"1220","102","3"
"1221","103","1"
"1222","103","2"
"1223","103","3"
"1224","103","4"
"1225","103","5"
