"fsn_id","fam_id","spn_id"
"1000","4537","20"
"1001","4537","10"
"1002","4537","60"
"1003","4537","40"
"1006","14534","10"
"1007","14617","60"
"1008","11769","60"
"1009","5804","20"
"1010","5804","50"
"1011","9406","60"
"1012","9329","40"
"1013","14755","30"
"1014","15124","40"
"1015","15124","50"
"1016","15878","70"
"1017","15878","20"
"1018","15878","10"
"1019","15878","60"
"1020","15878","40"
"1021","15878","30"
"1022","15878","50"
"1024","14588","40"
"1031","24933","70"
"1032","24933","20"
"1033","24933","10"
"1034","24933","60"
"1035","24933","30"
"1036","22542","20"
"1037","22542","40"
"1038","22542","30"
"1039","22542","50"
"1040","22542","70"
"1041","22542","60"
"1042","25534","40"
"1043","12075","70"
"1044","3237","20"
"1045","3237","50"
"1046","22377","30"
"1047","26958","60"
"1049","14056","20"
"1050","14056","50"
"1051","27856","70"
"1052","27856","50"
"1054","27922","50"
"1055","25080","40"
"1056","25080","50"
"1057","24612","60"
"1058","24612","40"
"1059","25549","70"
"1060","25549","40"
"1061","25549","50"
"1062","27010","10"
"1063","27010","40"
"1064","27010","50"
"1065","11560","40"
"1066","11560","50"
"1067","23871","70"
"1068","26791","40"
"1069","26791","50"
"1070","29115","40"
"1071","29115","50"
"1072","29049","40"
"1073","29049","50"
"1077","27519","60"
"1078","27519","40"
"1079","27519","50"
"1080","27034","40"
"1081","27034","50"
"1082","25774","50"
"1083","29417","20"
"1084","29417","40"
"1085","29417","50"
"1086","23713","40"
"1087","26179","30"
"1088","26179","50"
"1089","27532","40"
"1090","27532","50"
"1091","29580","40"
"1092","29580","50"
"1093","27549","50"
"1094","25387","40"
"1095","25387","50"
"1096","25387","60"
"1097","29456","70"
"1098","29456","40"
"1099","29456","50"
"1100","29633","40"
"1101","29633","50"
"1102","23426","20"
"1103","20962","40"
"1104","20962","50"
"1105","28833","70"
"1106","26394","20"
"1107","26394","40"
"1108","26394","30"
"1109","26394","50"
"1111","29496","50"
"1112","17233","60"
"1113","17233","40"
"1114","17233","50"
"1115","22512","60"
"1116","29821","20"
"1117","29821","40"
"1118","29821","50"
"1119","2339","40"
"1120","2339","50"
"1121","21171","40"
"1122","21171","50"
"1123","23228","40"
"1124","23228","30"
"1125","23228","50"
"1126","30134","10"
"1127","30134","40"
"1128","30134","50"
"1129","29872","60"
"1130","29872","40"
"1131","29872","50"
"1133","22304","70"
"1134","22304","40"
"1135","28883","50"
"1136","28129","40"
"1137","28129","50"
"1138","31933","70"
"1139","31933","60"
"1140","32047","40"
"1141","32047","50"
"1142","29996","70"
"1143","29996","60"
"1144","29996","40"
"1145","29996","50"
"1146","2983","60"
"1147","28393","40"
"1148","28393","50"
"1149","32301","40"
"1150","32301","50"
"1151","30412","60"
"1152","30412","30"
"1153","30706","70"
"1154","26994","40"
"1155","26994","50"
"1156","31150","20"
"1157","31150","50"
