"fss_id","fam_id","ssv_id"
"1001","8874","40"
"1002","27116","40"
"1003","12242","30"
"1004","23328","70"
"1005","14154","40"
"1006","14154","20"
"1007","14154","50"
"1008","4022","30"
"1009","23104","30"
"1010","6337","40"
"1011","14424","40"
"1012","9835","20"
"1013","9597","70"
"1014","27435","70"
"1015","27436","70"
"1016","27075","70"
"1017","6825","40"
"1018","67","30"
"1019","27601","70"
"1020","25907","70"
"1022","27644","70"
"1023","27645","70"
"1024","27646","70"
"1025","27652","70"
"1026","27654","70"
"1027","27622","70"
"1028","27747","30"
"1029","27453","70"
"1031","9095","50"
"1032","27998","70"
"1033","14154","80"
"1034","14154","30"
"1035","1478","40"
"1036","1478","80"
"1037","1478","30"
"1038","1478","50"
"1039","27910","40"
"1040","27910","80"
"1041","27910","30"
"1043","27910","50"
"1044","11690","40"
"1045","11690","50"
"1047","16757","40"
"1048","16757","80"
"1049","16757","30"
"1050","16757","20"
"1051","16757","50"
"1052","14424","20"
"1053","14424","50"
"1059","25357","40"
"1060","18978","40"
"1062","18978","50"
"1065","26081","10"
"1066","1057","40"
"1067","1057","80"
"1068","1057","30"
"1069","1057","20"
"1070","1057","50"
"1071","8097","10"
"1072","8771","40"
"1073","8771","20"
"1074","8771","50"
"1075","26776","40"
"1076","26776","50"
"1077","27911","40"
"1079","27911","50"
"1080","21223","40"
"1081","21223","20"
"1082","21223","50"
"1084","23687","10"
"1085","27525","10"
"1086","27525","60"
"1087","21889","30"
"1089","21889","50"
"1091","25080","10"
"1093","25385","60"
"1094","15460","40"
"1095","15460","50"
"1096","25385","70"
"1097","28523","40"
"1098","28523","80"
"1099","28523","30"
"1100","28523","50"
"1101","24093","10"
"1102","17210","60"
"1103","8874","50"
"1104","20399","30"
"1105","25357","30"
"1107","25357","50"
"1108","28231","10"
"1109","28231","60"
"1111","6337","30"
"1112","6337","50"
"1113","6337","70"
"1114","17233","40"
"1116","17233","50"
"1118","15574","50"
"1119","4226","20"
"1120","4226","50"
"1121","24206","40"
"1123","24206","50"
"1125","28829","60"
