"key_name","key_value"
"agc  ","5061"
"agn  ","2017"
"chd  ","6150"
"CHD_H","92211"
"cla  ","25743"
"clc  ","152119"
"cll  ","141860"
"cln  ","48332"
"csn  ","1174"
"EVA  ","23292"
"evt  ","1205"
"exf  ","7832"
"EXI  ","628069"
"exr  ","42050"
"fam  ","40738"
"fam_h","162508"
"fat  ","7696"
"FCH  ","6460"
"FMC  ","69416"
"fpl  ","2628"
"FRP  ","19812"
"fsn  ","1383"
"fss  ","2130"
"MFC  ","12382"
"mft  ","7027"
"MLG  ","56382"
"MLS  ","48077"
"mlt  ","1011"
"NOQ  ","223675"
"ocn  ","4618"
"pls  ","6713"
"PNM  ","35486"
"PTI  ","3217"
"ptt  ","1161"
"rce  ","1000"
"RCL  ","210627"
"rcs  ","1263"
"rgn  ","1008"
"usr  ","1040"
