"mlg_id","chd_id","rcs_id"
"1000","20","2"
"1001","20","3"
"1002","20","7"
"1003","20","10"
"1004","20","13"
"1005","20","15"
"1006","20","18"
"1007","20","21"
"1008","20","31"
"1009","20","35"
"1010","20","37"
"1011","23","3"
"1012","23","7"
"1013","23","37"
"1014","24","2"
"1015","24","3"
"1016","24","7"
"1017","24","13"
"1018","24","15"
"1019","24","18"
"1020","24","21"
"1021","24","27"
"1022","24","31"
"1023","24","33"
"1024","24","35"
"1025","24","37"
"1026","24","45"
"1027","24","47"
"1028","25","2"
"1029","25","3"
"1030","25","7"
"1031","25","13"
"1032","25","15"
"1033","25","18"
"1034","25","21"
"1035","25","27"
"1036","25","31"
"1037","25","33"
"1038","25","35"
"1039","25","37"
"1040","25","39"
"1041","25","43"
"1042","25","46"
"1043","25","47"
"1044","30","2"
"1045","30","3"
"1046","30","7"
"1047","30","13"
"1048","30","15"
"1049","30","18"
"1050","30","21"
"1051","30","31"
"1052","30","35"
"1053","30","37"
"1054","31","3"
"1055","31","7"
"1056","31","21"
"1057","31","37"
"1058","32","3"
"1059","32","7"
"1060","32","21"
"1061","32","37"
"1062","33","2"
"1063","33","3"
"1064","33","7"
"1065","33","13"
"1066","33","15"
"1067","33","18"
"1068","33","21"
"1069","33","27"
"1070","33","31"
"1071","33","35"
"1072","33","37"
"1073","33","43"
"1074","33","46"
"1075","33","47"
"1076","33","68"
"1077","33","69"
"1078","35","3"
"1079","35","7"
"1080","35","21"
"1081","35","37"
"1082","36","2"
"1083","36","3"
"1084","36","7"
"1085","36","10"
"1086","36","13"
"1087","36","15"
"1088","36","21"
"1089","36","27"
"1090","36","31"
"1091","36","35"
"1092","36","37"
"1093","37","2"
"1094","37","3"
"1095","37","7"
"1096","37","10"
"1097","37","13"
"1098","37","15"
"1099","37","21"
"1100","37","27"
"1101","37","31"
"1102","37","35"
"1103","37","37"
"1104","40","2"
"1105","40","3"
"1106","40","7"
"1107","40","10"
"1108","40","13"
"1109","40","15"
"1110","40","18"
"1111","40","21"
"1112","40","27"
"1113","40","31"
"1114","40","35"
"1115","40","37"
"1116","40","43"
"1117","40","46"
"1118","40","47"
"1119","40","68"
"1120","40","69"
"1121","42","3"
"1122","42","7"
"1123","42","18"
"1124","42","21"
"1125","42","31"
"1126","42","37"
"1127","42","38"
"1128","42","41"
"1129","42","44"
"1130","42","46"
"1131","43","3"
"1132","43","7"
"1133","43","18"
"1134","43","21"
"1135","43","31"
"1136","43","37"
"1137","43","38"
"1138","43","41"
"1139","43","44"
"1140","43","46"
"1141","45","2"
"1142","45","3"
"1143","45","7"
"1144","45","13"
"1145","45","15"
"1146","45","27"
"1147","45","31"
"1148","45","35"
"1149","45","37"
"1150","46","2"
"1151","46","3"
"1152","46","7"
"1153","46","13"
"1154","46","15"
"1155","46","27"
"1156","46","31"
"1157","46","35"
"1158","46","37"
"1159","49","2"
"1160","49","3"
"1161","49","7"
"1162","49","13"
"1163","49","15"
"1164","49","31"
"1165","49","37"
"1166","52","3"
"1167","52","7"
"1168","52","37"
"1169","54","2"
"1170","54","3"
"1171","54","7"
"1172","54","10"
"1173","54","13"
"1174","54","15"
"1175","54","18"
"1176","54","21"
"1177","54","27"
"1178","54","31"
"1179","54","35"
"1180","54","37"
"1181","54","38"
"1182","54","41"
"1183","54","46"
"1184","56","2"
"1185","56","3"
"1186","56","7"
"1187","56","13"
"1188","56","15"
"1189","56","18"
"1190","56","21"
"1191","56","27"
"1192","56","31"
"1193","56","33"
"1194","56","35"
"1195","56","37"
"1196","56","39"
"1197","56","43"
"1198","56","45"
"1199","56","46"
"1200","56","47"
"1201","56","68"
"1202","56","69"
"1203","60","2"
"1204","60","3"
"1205","60","7"
"1206","60","10"
"1207","60","13"
"1208","60","15"
"1209","60","21"
"1210","60","27"
"1211","60","31"
"1212","60","35"
"1213","60","37"
"1214","61","3"
"1215","61","7"
"1216","61","21"
"1217","61","31"
"1218","61","37"
"1219","62","2"
"1220","62","3"
"1221","62","7"
"1222","62","10"
"1223","62","13"
"1224","62","15"
"1225","62","21"
"1226","62","27"
"1227","62","31"
"1228","62","35"
"1229","62","37"
"1230","62","68"
"1231","62","69"
"1232","63","2"
"1233","63","3"
"1234","63","7"
"1235","63","10"
"1236","63","13"
"1237","63","15"
"1238","63","21"
"1239","63","27"
"1240","63","31"
"1241","63","35"
"1242","63","37"
"1243","64","2"
"1244","64","3"
"1245","64","7"
"1246","64","13"
"1247","64","15"
"1248","64","21"
"1249","64","27"
"1250","64","35"
"1251","64","37"
"1252","64","38"
"1253","64","41"
"1254","64","44"
"1255","65","2"
"1256","65","3"
"1257","65","7"
"1258","65","13"
"1259","65","15"
"1260","65","18"
"1261","65","21"
"1262","65","27"
"1263","65","31"
"1264","65","33"
"1265","65","35"
"1266","65","37"
"1267","65","39"
"1268","65","43"
"1269","65","45"
"1270","65","46"
"1271","65","47"
"1272","65","68"
"1273","65","69"
"1274","66","2"
"1275","66","3"
"1276","66","7"
"1277","66","13"
"1278","66","15"
"1279","66","18"
"1280","66","21"
"1281","66","27"
"1282","66","31"
"1283","66","33"
"1284","66","35"
"1285","66","37"
"1286","66","39"
"1287","66","43"
"1288","66","45"
"1289","66","46"
"1290","66","47"
"1291","66","68"
"1292","66","69"
"1293","71","2"
"1294","71","3"
"1295","71","7"
"1296","71","13"
"1297","71","15"
"1298","71","21"
"1299","71","27"
"1300","71","31"
"1301","71","35"
"1302","71","37"
"1303","72","2"
"1304","72","3"
"1305","72","7"
"1306","72","13"
"1307","72","15"
"1308","72","21"
"1309","72","27"
"1310","72","31"
"1311","72","35"
"1312","72","37"
"1313","81","3"
"1314","81","7"
