"mft_id","rcs_id","schedule_date","case_number","location"
"1","5","1/1/1996 12:00:00 AM","",""
"2","5","2/6/1998 12:00:00 AM","",""
"4","2","3/4/1998 12:00:00 AM","521","Blue Hills Trailside Reservation, Milton"
"10","3","12/15/1996 12:00:00 AM","",""
"11","2","2/18/1998 12:00:00 AM","519","Stone Zoo"
"13","38","1/15/1998 12:00:00 AM","",""
"14","15","7/25/1997 12:00:00 AM","",""
"15","2","7/16/1997 12:00:00 AM","501","USS Constitution"
"16","3","9/7/1997 12:00:00 AM","",""
"17","27","2/1/1998 12:00:00 AM","",""
"18","10","12/4/1997 12:00:00 AM","",""
"19","35","12/28/1997 12:00:00 AM","",""
"20","37","2/26/1998 12:00:00 AM","",""
"22","10","3/19/1998 12:00:00 AM","",""
"23","37","1/29/1998 12:00:00 AM","",""
"24","3","10/19/1997 12:00:00 AM","",""
"26","2","12/17/1997 12:00:00 AM","514","school"
"28","15","1/16/1998 12:00:00 AM","",""
"29","15","4/12/1996 12:00:00 AM","",""
"30","31","10/1/1997 12:00:00 AM","",""
"31","37","7/30/1996 12:00:00 AM","",""
"32","35","12/29/1996 12:00:00 AM","",""
"33","2","11/20/1996 12:00:00 AM","473",""
"34","3","8/20/1995 12:00:00 AM","",""
"35","3","11/16/1997 12:00:00 AM","",""
"36","3","9/21/1997 12:00:00 AM","",""
"37","10","5/1/1997 12:00:00 AM","",""
"38","15","5/16/1997 12:00:00 AM","",""
"39","2","5/28/1997 12:00:00 AM","495","DeCordova Museum"
"40","13","2/6/1998 12:00:00 AM","",""
"41","2","10/25/1995 12:00:00 AM","426",""
"42","15","3/29/1996 12:00:00 AM","",""
"43","3","3/24/1996 12:00:00 AM","",""
"44","37","12/31/1996 12:00:00 AM","",""
"45","35","11/24/1996 12:00:00 AM","",""
"46","3","11/10/1996 12:00:00 AM","",""
"47","21","3/1/1996 12:00:00 AM","",""
"48","15","2/13/1998 12:00:00 AM","",""
"49","3","8/24/1997 12:00:00 AM","",""
"50","15","8/29/1997 12:00:00 AM","",""
"52","2","10/29/1997 12:00:00 AM","508 & 509","Green's Field playground, Needham"
"54","15","11/7/1997 12:00:00 AM","",""
"55","3","6/1/1997 12:00:00 AM","",""
"56","2","6/4/1997 12:00:00 AM","496","Cambridge School of Culinary Arts"
"57","35","7/27/1997 12:00:00 AM","",""
"58","15","7/11/1997 12:00:00 AM","",""
"59","13","9/5/1997 12:00:00 AM","",""
"61","3","3/1/1998 12:00:00 AM","",""
"62","3","3/8/1998 12:00:00 AM","",""
"63","2","12/10/1996 12:00:00 AM","474/475",""
"64","3","8/17/1997 12:00:00 AM","",""
"65","3","3/15/1998 12:00:00 AM","",""
"68","3","9/15/1996 12:00:00 AM","",""
"69","2","9/24/1997 12:00:00 AM","506","Breakheart Reservation, Saugus"
"70","3","12/8/1996 12:00:00 AM","",""
"72","3","11/3/1996 12:00:00 AM","",""
"73","15","2/7/1997 12:00:00 AM","",""
"75","27","12/1/1997 12:00:00 AM","",""
"76","3","9/29/1996 12:00:00 AM","",""
"77","35","2/23/1997 12:00:00 AM","",""
"78","15","5/30/1997 12:00:00 AM","",""
"79","41","12/20/1997 12:00:00 AM","",""
"80","2","9/3/1997 12:00:00 AM","503","Swan Boats"
"81","13","1/9/1998 12:00:00 AM","",""
"82","3","1/25/1998 12:00:00 AM","",""
"83","15","2/21/1997 12:00:00 AM","",""
"84","37","8/29/1995 12:00:00 AM","",""
"85","3","1/14/1996 12:00:00 AM","",""
"86","3","5/18/1997 12:00:00 AM","",""
