"mfc_id","mft_id","chd_id"
"1000","1015","147"
"1001","1016","211"
"1002","964","738"
"1003","1017","176"
"1004","999","739"
"1005","999","738"
"1006","1018","629"
"1007","1019","794"
"1008","1020","775"
"1009","1020","774"
"1010","1021","814"
"1011","976","248"
"1012","976","497"
"1013","977","56"
"1014","981","798"
"1015","1012","99"
"1016","1022","739"
"1017","1022","738"
"1018","1023","834"
"1019","1024","731"
"1020","1025","731"
"1021","1025","834"
"1022","1026","416"
"1023","1026","415"
"1024","1027","99"
"1025","1028","99"
"1026","1009","738"
"1027","1009","739"
"1028","1029","805"
"1029","1001","734"
"1030","1029","646"
"1031","1033","726"
"1032","1034","618"
"1033","1035","902"
"1034","1006","684"
"1035","1037","739"
"1036","1037","738"
"1037","1037","774"
"1038","1037","775"
"1039","1037","65"
"1040","1037","66"
"1041","964","739"
"1042","964","438"
"1043","964","301"
"1044","964","570"
"1045","964","687"
"1046","964","690"
"1047","964","710"
"1048","964","727"
"1049","964","734"
"1050","1038","56"
"1051","1038","582"
"1052","1038","65"
"1053","1038","66"
"1054","1039","147"
"1055","1039","211"
"1056","1039","213"
"1057","1039","234"
"1058","1040","192"
"1059","1040","317"
"1060","1040","386"
"1061","1040","601"
"1062","1040","711"
"1063","1040","726"
"1064","1041","304"
"1065","1042","310"
"1066","1042","646"
"1067","1043","398"
"1068","1038","583"
"1069","1044","618"
"1070","1044","678"
"1071","1045","629"
"1072","1046","684"
"1073","1047","814"
"1074","964","202"
"1075","1048","640"
"1076","1048","642"
"1077","1048","641"
"1078","1048","833"
"1079","1049","882"
"1080","1049","759"
"1081","1049","879"
"1082","1050","128"
"1083","1051","688"
"1084","1051","567"
"1085","1051","128"
"1086","1052","486"
"1087","1053","764"
"1088","1053","765"
"1089","1054","559"
"1090","1055","708"
"1091","1057","805"
"1092","1059","669"
"1093","1060","748"
"1094","1061","514"
"1095","1063","882"
"1096","1064","805"
"1097","1031","646"
"1098","1065","805"
"1099","1032","99"
"1100","1066","180"
"1101","1067","570"
"1102","1069","618"
"1103","1070","774"
"1104","1070","775"
"1105","1071","708"
"1106","1074","633"
"1107","1074","632"
"1108","1074","416"
"1109","1074","415"
"1110","1074","765"
"1111","1074","764"
"1112","1074","735"
"1113","1074","736"
"1114","1056","764"
"1115","1056","765"
"1116","1036","734"
"1117","1075","304"
"1118","1058","632"
"1119","1058","633"
"1120","1076","735"
"1121","1076","736"
"1122","1079","99"
"1123","1080","646"
"1124","1081","646"
"1125","1082","646"
"1126","1083","745"
"1127","1084","416"
"1128","1084","415"
"1129","1084","559"
"1130","1085","147"
"1131","1086","879"
"1132","1087","601"
"1133","1088","949"
"1134","1088","950"
"1135","1088","951"
"1136","1088","952"
"1137","1089","766"
"1138","1073","709"
"1139","1092","151"
