"ptt_id","type","deadline_date","first_letter_date","second_letter_date","third_letter_date"
"6","P","1/1/2000 12:00:00 AM","11/1/1999 12:00:00 AM","12/1/1999 12:00:00 AM","12/16/1999 12:00:00 AM"
"7","P","2/1/2000 12:00:00 AM","12/1/1999 12:00:00 AM","1/1/2000 12:00:00 AM","1/16/2000 12:00:00 AM"
"8","P","3/1/2000 12:00:00 AM","1/1/2000 12:00:00 AM","2/1/2000 12:00:00 AM","2/16/2000 12:00:00 AM"
"10","P","4/1/2000 12:00:00 AM","2/1/2000 12:00:00 AM","3/1/2000 12:00:00 AM","3/16/2000 12:00:00 AM"
"11","P","5/1/2000 12:00:00 AM","3/1/2000 12:00:00 AM","4/1/2000 12:00:00 AM","4/16/2000 12:00:00 AM"
"13","P","7/1/2000 12:00:00 AM","5/1/2000 12:00:00 AM","6/1/2000 12:00:00 AM","6/16/2000 12:00:00 AM"
"17","P","8/1/2000 12:00:00 AM","6/1/2000 12:00:00 AM","7/1/2000 12:00:00 AM","7/16/2000 12:00:00 AM"
"18","P","9/1/2000 12:00:00 AM","7/1/2000 12:00:00 AM","8/1/2000 12:00:00 AM","8/16/2000 12:00:00 AM"
"19","P","10/1/2000 12:00:00 AM","8/1/2000 12:00:00 AM","9/1/2000 12:00:00 AM","9/16/2000 12:00:00 AM"
"20","P","11/1/2000 12:00:00 AM","9/1/2000 12:00:00 AM","10/1/2000 12:00:00 AM","10/16/2000 12:00:00 AM"
"21","P","12/1/2000 12:00:00 AM","10/1/2000 12:00:00 AM","11/1/2000 12:00:00 AM","11/16/2000 12:00:00 AM"
"22","P","1/1/2001 12:00:00 AM","11/1/2000 12:00:00 AM","12/1/2000 12:00:00 AM","12/16/2000 12:00:00 AM"
"23","P","2/1/2001 12:00:00 AM","12/1/2000 12:00:00 AM","1/1/2001 12:00:00 AM","1/16/2001 12:00:00 AM"
"24","P","3/1/2001 12:00:00 AM","1/1/2001 12:00:00 AM","2/1/2001 12:00:00 AM","2/16/2001 12:00:00 AM"
"25","P","4/1/2001 12:00:00 AM","2/1/2001 12:00:00 AM","3/1/2001 12:00:00 AM","3/16/2001 12:00:00 AM"
"26","P","5/1/2001 12:00:00 AM","3/1/2001 12:00:00 AM","4/1/2001 12:00:00 AM","4/16/2001 12:00:00 AM"
"27","P","6/1/2001 12:00:00 AM","4/1/2001 12:00:00 AM","5/1/2001 12:00:00 AM","5/16/2001 12:00:00 AM"
"28","P","7/1/2001 12:00:00 AM","5/1/2001 12:00:00 AM","6/1/2001 12:00:00 AM","6/16/2001 12:00:00 AM"
"29","P","8/1/2001 12:00:00 AM","6/1/2001 12:00:00 AM","7/1/2001 12:00:00 AM","7/16/2001 12:00:00 AM"
"30","P","9/1/2001 12:00:00 AM","7/1/2001 12:00:00 AM","8/1/2001 12:00:00 AM","8/16/2001 12:00:00 AM"
"31","P","10/1/2001 12:00:00 AM","8/1/2001 12:00:00 AM","9/1/2001 12:00:00 AM","9/16/2001 12:00:00 AM"
"32","P","11/1/2001 12:00:00 AM","9/1/2001 12:00:00 AM","10/1/2001 12:00:00 AM","10/16/2001 12:00:00 AM"
"33","P","12/1/2001 12:00:00 AM","10/1/2001 12:00:00 AM","11/1/2001 12:00:00 AM","11/16/2001 12:00:00 AM"
"34","P","1/1/2002 12:00:00 AM","11/1/2001 12:00:00 AM","12/1/2001 12:00:00 AM","12/16/2001 12:00:00 AM"
"35","P","2/1/2002 12:00:00 AM","12/1/2001 12:00:00 AM","1/1/2002 12:00:00 AM","1/16/2002 12:00:00 AM"
"36","P","3/1/2002 12:00:00 AM","1/1/2002 12:00:00 AM","2/1/2002 12:00:00 AM","2/16/2002 12:00:00 AM"
