"pti_id","ptt_id","chd_id","fam_id"
"1000","6","669",""
"1001","6","678",""
"1002","6","679",""
"1003","6","683",""
"1004","7","562",""
"1005","7","637",""
"1006","7","638",""
"1007","7","639",""
"1008","7","684",""
"1009","7","807",""
"1010","11","24",""
"1011","11","56",""
"1012","11","112",""
"1013","11","128",""
"1014","11","137",""
"1015","11","202",""
"1016","11","237",""
"1017","11","251",""
"1018","11","268",""
"1019","11","345",""
"1020","11","347",""
"1021","11","398",""
"1022","11","436",""
"1023","11","486",""
"1024","11","509",""
"1025","11","562",""
"1026","11","577",""
"1027","11","609",""
"1028","11","610",""
"1029","11","626",""
"1030","11","637",""
"1031","11","638",""
"1032","11","639",""
"1033","11","643",""
"1034","11","663",""
"1035","11","669",""
"1036","11","688",""
"1037","11","690",""
"1038","11","710",""
"1039","11","716",""
"1040","11","719",""
"1041","11","725",""
"1042","11","727",""
"1043","11","728",""
"1044","11","729",""
"1045","11","731",""
"1046","11","920",""
"1047","11","921",""
"1048","13","180",""
"1049","13","567",""
"1050","13","704",""
"1051","13","726",""
"1052","13","748",""
"1053","13","774",""
"1054","13","775",""
"1055","13","776",""
"1056","13","783",""
"1057","13","794",""
"1058","13","798",""
"1059","17","106",""
"1060","17","151",""
"1061","17","399",""
"1062","17","711",""
"1063","17","808",""
"1064","17","814",""
"1065","18","147",""
"1066","18","148",""
"1067","18","754",""
"1068","19","243",""
"1069","19","244",""
"1070","19","438",""
"1071","19","662",""
"1072","19","679",""
"1073","19","726",""
"1074","19","748",""
"1075","19","753",""
"1076","19","766",""
"1077","19","836",""
"1078","19","844",""
"1079","20","514",""
"1080","20","764",""
"1081","20","765",""
"1082","20","855",""
"1083","20","860",""
"1084","20","879",""
"1085","21","682",""
"1086","21","826",""
"1087","21","827",""
"1088","22","902",""
"1089","23","99",""
"1090","23","304",""
"1091","23","310",""
"1092","23","632",""
"1093","23","633",""
"1094","23","646",""
"1095","23","843",""
"1096","23","901",""
"1097","23","917",""
"1098","24","447",""
"1099","24","453",""
"1100","24","601",""
"1101","24","684",""
"1102","24","927",""
"1103","24","928",""
"1104","24","932",""
"1105","24","940",""
"1106","25","450",""
"1107","25","467",""
"1108","25","468",""
"1109","25","469",""
"1110","25","887",""
"1111","25","948",""
"1112","25","992",""
"1113","25","993",""
"1114","26","702",""
"1115","26","784",""
"1116","26","925",""
"1117","26","980",""
"1118","26","1021",""
"1119","26","1022",""
"1120","26","1023",""
"1121","26","1029",""
"1122","27","112",""
"1123","27","192",""
"1124","27","582",""
"1125","27","583",""
"1126","27","841",""
"1127","27","946",""
"1128","27","972",""
"1129","27","986",""
"1130","27","987",""
"1131","27","1044",""
"1132","27","1045",""
"1133","27","1047",""
"1134","27","1050",""
"1135","27","1057",""
"1136","28","40",""
"1137","28","267",""
"1138","28","701",""
"1139","28","727",""
"1140","28","728",""
"1141","28","734",""
"1142","28","786",""
"1143","28","798",""
"1144","28","1065",""
"1145","29","151",""
"1146","29","202",""
"1147","29","711",""
"1148","29","1059",""
"1149","29","1096",""
"1150","29","1097",""
"1151","29","1102",""
"1152","29","1103",""
"1153","29","1110",""
"1154","30","678",""
"1155","30","795",""
"1156","30","844",""
"1157","30","1046",""
"1158","30","1121",""
"1159","30","1122",""
"1160","30","1123",""
"1161","30","1129",""
"1162","31","398",""
"1163","31","399",""
"1164","31","662",""
"1165","31","1105",""
"1166","31","1106",""
"1167","31","1107",""
"1168","31","1133",""
"1169","31","1134",""
"1170","31","1139",""
"1171","31","1156",""
"1172","31","1158",""
"1173","31","1159",""
"1174","31","1160",""
"1175","31","1161",""
"1176","31","1173",""
"1177","31","1184",""
"1178","31","1194",""
"1179","31","1195",""
"1180","31","1196",""
"1181","31","1202",""
"1182","31","1207",""
"1183","31","1208",""
"1184","32","275",""
"1185","32","682",""
"1186","32","907",""
"1187","32","1091",""
"1188","32","1131",""
"1189","32","1175",""
"1190","32","1176",""
"1191","32","1177",""
