"pls_id","chd_id","rcs_id"
"25","25","2"
"30","30","1"
"41","41","103"
"45","45","1"
"46","46","1"
"47","47","1"
"48","48","1"
"49","49","1"
"56","56","83"
"59","59","1"
"60","60","5"
"62","62","2"
"64","64","1"
"78","78","1"
"83","83","1"
"84","84","1"
"86","86","2"
"87","87","2"
"107","107","33"
"108","108","33"
"112","112","94"
"123","123","2"
"124","124","94"
"126","126","103"
"127","127","103"
"129","129","94"
"133","133","94"
"134","134","5"
"135","135","5"
"136","136","3"
"139","139","1"
"140","140","26"
"142","142","26"
"148","148","94"
"149","149","62"
"176","176","98"
"178","178","94"
"181","181","1"
"185","185","2"
"188","188","2"
"190","190","2"
"194","194","68"
"201","201","5"
"211","211","5"
"238","238","94"
"243","243","83"
"247","247","94"
"251","251","2"
"253","253","2"
"257","257","1"
"264","264","1"
"269","269","1"
"275","275","5"
"279","279","94"
"304","304","68"
"308","308","1"
"317","317","1"
"323","323","1"
"324","324","1"
"325","325","1"
"343","343","2"
"347","347","94"
"352","352","94"
"354","354","26"
"355","355","94"
"362","362","1"
"365","365","1"
"367","367","1"
"375","375","5"
"387","387","1"
"388","388","83"
"394","394","5"
"396","396","5"
"398","398","2"
"401","401","2"
"402","402","1"
"403","403","94"
"404","404","94"
"427","427","5"
"434","434","1"
"435","435","1"
"436","436","5"
"440","440","1"
"441","441","1"
"442","442","1"
"459","459","3"
"463","463","4"
"469","469","5"
"470","470","3"
"471","471","3"
"486","486","1"
"487","487","5"
"488","488","5"
"494","494","83"
"498","498","94"
"499","499","2"
"500","500","2"
"502","502","100"
"503","503","1"
"505","505","62"
"509","509","68"
"512","512","3"
"521","521","83"
"534","534","1"
"535","535","1"
"536","536","1"
"537","537","1"
"538","538","1"
"541","541","18"
"542","542","1"
"543","543","1"
"544","544","5"
"545","545","5"
"551","551","5"
"552","552","5"
"557","557","79"
"558","558","5"
"559","559","2"
"560","560","2"
"567","567","94"
"568","568","2"
"574","574","1"
"577","577","83"
"581","581","103"
"589","589","103"
"590","590","103"
"594","594","26"
"595","595","5"
"596","596","5"
"597","597","94"
"601","601","83"
"602","602","2"
"608","608","1"
"618","618","2"
"619","619","1"
"620","620","1"
"621","621","103"
"623","623","94"
"625","625","83"
"629","629","68"
"630","630","1"
"631","631","103"
"634","634","62"
"638","638","1"
"639","639","1"
"642","642","1"
"643","643","94"
"658","658","1"
"659","659","5"
"660","660","5"
"661","661","1"
"663","663","94"
"665","665","5"
"669","669","1"
"674","674","1"
"675","675","1"
"680","680","1"
"681","681","1"
"683","683","1"
"687","687","94"
"689","689","5"
"695","695","1"
"698","698","1"
"699","699","1"
"702","702","83"
"703","703","1"
"705","705","83"
"707","707","1"
"708","708","3"
"709","709","2"
"714","714","94"
"715","715","94"
"716","716","5"
"721","721","83"
"724","724","5"
"725","725","3"
"727","727","33"
"734","734","1"
"735","735","5"
"736","736","5"
"739","739","26"
"740","740","5"
"742","742","62"
"746","746","68"
