"rce_id","code","name"
"1","AA","African American"
"2","AS","Asian"
"3","CA","Caucasian"
"4","HI","Hispanic"
"5","NA","Native American"
"6","AA/AS","African American/Asian"
"7","AA/CA","African American/Cauc."
"8","AA/HI","African American/Hispanic"
"9","AA/NA","African American/Nat.Amer"
"10","AS/CA","Asian/Cauc."
"11","AS/HI","Asian/Hispanic"
"12","AS/NA","Asian/Nati.Amer."
"13","CA/HI","Caucasian/Hispanic"
"14","CA/NA","Caucasian/Nat.Amer."
"15","HI/NA","Hispanic/Nat.Amer."
"16","OTHER","Other- DO NOT USE"
